precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count,precursor_formulas_set
"['Al2O3', 'Cu2O']",AlCuO,0.5 Al2O3 + 0.5 Cu2O == 1 CuAlO + 0.5 O2 ; target CuAlO with additives Ca via CaO,2014,"['sintered', 'sintered', 'post-annealed', 'annealed', 'annealed', 'heated']","[[], [1100.0], [900.0, 600.0], [600.0], [900.0], []]","[[], [24.0], [5.0], [], [], []]",1100.0,24.0,900.0,5.0,10.1016/j.tsf.2013.11.086,True,4,"['Al2O3', 'Cu2O']"
"['Al(HO)3', 'Cu2O']",AlCuO2,1 Al(OH)3 + 0.5 Cu2O == 1 CuAlO2 + 1.5 H2O,2007,"['calcining', 'calcined', 'heat', 'treated']","[[], [1099.85], [], [499.85]]","[[], [10.0], [], [1.0]]",,,799.8499999999999,5.5,10.1016/j.mseb.2007.01.045,True,2,"['Al(HO)3', 'Cu2O']"
"['Al2O3', 'Cu2O']",AlCuO2,0.5 Al2O3 + 0.5 Cu2O == 1 CuAlO2,2005,['heated'],[[1100.0]],[[24.0]],974.925,4.0,1109.9,25.0,10.1016/j.jssc.2004.11.017,True,4,"['Al2O3', 'Cu2O']"
"['Al2O3', 'CuO']",AlCuO2,0.5 Al2O3 + 1 CuO == 1 CuAlO2 + 0.25 O2,2005,"['calcined', 'sintered']","[[799.85], [1199.85]]","[[2.0], [20.0]]",1162.35,20.0,799.85,2.0,10.1016/j.jeurceramsoc.2005.03.034,True,4,"['Al2O3', 'CuO']"
"['Cu2O', 'AlHO2']",AlCuO2,1 AlOOH·0.059H2O + 0.5 Cu2O == 1 CuAlO2 + 0.559 H2O,2013,['calcination'],[[1100.0]],[[10.0]],,,1100.0,10.0,10.1016/j.jeurceramsoc.2013.05.025,True,2,"['AlHO2', 'Cu2O']"
"['Al2O3', 'Co2(CO3)3', 'Fe2O3']",AlFeCoO4,0.5 Al2O3 + 0.5 Co2(CO3)3 + 0.5 Fe2O3 == 1 AlCoFeO4 + 1.5 CO2 + 0.25 O2,2008,['calcining'],[[1100.0]],[[4.0]],,,1100.0,4.0,10.1016/j.porgcoat.2008.01.011,True,2,"['Al2O3', 'Co2(CO3)3', 'Fe2O3']"
"['Al2O3', 'Fe2O3', 'CuO']",AlFeCuO4,0.5 Al2O3 + 1 CuO + 0.5 Fe2O3 == 1 CuAlFeO4,2004,"['prefired', 'fired', 'sintered']","[[950.0], [], [1000.0]]","[[72.0], [], [8.0]]",1000.0,8.0,,,10.1016/j.matchemphys.2004.06.008,True,2,"['Al2O3', 'CuO', 'Fe2O3']"
"['Al2O3', 'Fe2O3']",AlFeO3,0.5 Al2O3 + 0.5 Fe2O3 == 1 FeAlO3,2004,['sintered'],[[1400.0]],[[10.0]],1400.0,10.0,1100.0,4.0,10.1016/s0955-2219(03)00205-x,True,4,"['Al2O3', 'Fe2O3']"
"['Al2O3', 'Ga2O3', 'CuO']",AlGaCuO4,0.5 Al2O3 + 1 CuO + 0.5 Ga2O3 == 1 CuAlGaO4,2013,['calcined'],[[1150.0]],[[12.0]],,,1150.0,12.0,10.1016/j.apcatb.2012.12.024,True,2,"['Al2O3', 'CuO', 'Ga2O3']"
"['Al2O3', 'Si3N4', 'AlN']",AlSiNO,0.667 Al2O3 + -0.333 AlN + 0.333 Si3N4 == 1 SiAlON + 0.5 O2,2006,[],[],[],1800.0,,,,10.1111/j.1551-2916.2006.01022.x,True,1,"['Al2O3', 'AlN', 'Si3N4']"
"['Al2O3', 'V2O5', 'Bi2O3']",AlVBi2O7,0.5 Al2O3 + 1 Bi2O3 + 0.5 V2O5 == 1 Bi2AlVO7,2009,['calcination'],[[]],[[]],,,800.0,29.0,10.1016/j.jhazmat.2008.08.088,True,2,"['Al2O3', 'Bi2O3', 'V2O5']"
"['AmO2', 'ZrO2']",Am2Zr2O7,2 AmO2 + 2 ZrO2 == 1 Am2Zr2O7 + 0.5 O2,2009,"['calcination', 'kept']","[[1500.0], []]","[[], []]",,,1500.0,,10.1016/j.jnucmat.2008.10.028,True,1,"['AmO2', 'ZrO2']"
"['AmO2', 'V2O5']",AmVO4,1 AmO2 + 0.5 V2O5 == 1 AmVO4 + 0.25 O2,2005,['annealed'],[[600.0]],[[]],,,600.0,,10.1016/j.jssc.2005.03.039,True,1,"['AmO2', 'V2O5']"
"['Fe2O3', 'BaCO3']",Ba(FeO2)2,1 BaCO3 + 1 Fe2O3 == 1 BaFe2O4 + 1 CO2,2004,"['sintered', 'heated', 'heated']","[[699.85], [999.85], [1199.85]]","[[24.0], [100.0], [48.0]]",1024.925,14.0,,,10.1016/j.jssc.2003.10.021,True,2,"['BaCO3', 'Fe2O3']"
"['BaS', 'Ga2S3']",Ba(GaS2)2,"1 BaS + 1 Ga2S3 == 1 BaGa2S4 ; target BaGa2S4 with additives Eu2+ via Eu2O3, EuF3",2005,['annealed'],[[900.0]],[[4.0]],,,950.0,4.0,10.1016/j.jpcs.2005.02.003,True,2,"['BaS', 'Ga2S3']"
"['ZrO2', 'Nb2O5', 'PbO', 'BaCO3', 'TiO2']",Ba0.01Zr0.5194Ti0.4606Nb0.02Pb0.98O3,0.01 BaCO3 + 0.01 Nb2O5 + 0.98 PbO + 0.461 TiO2 + 0.519 ZrO2 == 1 (Pb0.98Ba0.01)((Zr0.53Ti0.47)0.98Nb0.02)O3 + 0.01 CO2,2013,"['calcined', 'calcination', 'sintered']","[[900.0], [], [1275.0]]","[[1.0], [], [2.0]]",1275.0,2.0,900.0,1.0,10.1016/j.engfracmech.2012.06.023,True,4,"['BaCO3', 'Nb2O5', 'PbO', 'TiO2', 'ZrO2']"
"['TiO2', 'SrCO3', 'BaCO3']",Ba0.02Sr0.98Ti1O3,0.02 BaCO3 + 0.98 SrCO3 + 1 TiO2 == 1 (Ba0.02Sr0.98)TiO3 + 1 CO2,2005,"['calcined', 'sintered']","[[950.0], [1420.0]]","[[], [20.0]]",1420.0,20.0,950.0,,10.1016/j.tsf.2005.03.055,True,3,"['BaCO3', 'SrCO3', 'TiO2']"
"['MnO2', 'Pr6O11', 'CaCO3', 'BaCO3']",Ba0.03Ca0.47Pr0.5Mn1O3,0.03 BaCO3 + 0.47 CaCO3 + 1 MnO2 + 0.083 Pr6O11 == 1 Pr0.5Ca0.47Ba0.03MnO3 + 0.5 CO2 + 0.208 O2,2005,"['heated', 'sintered']","[[1350.0, 950.0], [1400.0]]","[[], [24.0]]",1400.0,24.0,,,10.1016/j.ssc.2005.04.023,True,2,"['BaCO3', 'CaCO3', 'MnO2', 'Pr6O11']"
"['TiO2', 'Na2CO3', 'Bi2O3', 'BaCO3']",Ba0.06Na0.47Ti1Bi0.47O3,0.06 BaCO3 + 0.235 Bi2O3 + 0.235 Na2CO3 + 1 TiO2 == 1 (Bi0.47Na0.47Ba0.06)TiO3 + 0.295 CO2,2011,['Calcination'],[[]],[[]],1156.6666666666667,2.5,794.0,2.4,10.1111/j.1551-2916.2010.04379.x,True,4,"['BaCO3', 'Bi2O3', 'Na2CO3', 'TiO2']"
"['TiO2', 'Na2CO3', 'BaTiO3', 'Bi2O3']",Ba0.06Na0.47Ti1Bi0.47O3,0.06 BaTiO3 + 0.235 Bi2O3 + 0.235 Na2CO3 + 0.94 TiO2 == 1 (Bi0.5Na0.5)0.94Ba0.06TiO3 + 0.235 CO2,2012,"['calcined', 'sintered']","[[850.0], [1150.0]]","[[2.0], [2.0]]",1150.0,2.0,850.0,2.0,10.1016/j.ceramint.2011.11.035,True,4,"['BaTiO3', 'Bi2O3', 'Na2CO3', 'TiO2']"
"['MnO2', 'Bi2O3', 'BaCO3', 'TiO2', 'Na2CO3']",Ba0.075Na0.4625Ti0.995Mn0.005Bi0.4625O3,0.075 BaCO3 + 0.232 Bi2O3 + 0.005 MnO2 + 0.232 Na2CO3 + 0.995 TiO2 == 1 (Bi0.5Na0.5)0.925Ba0.075(Ti0.995Mn0.005)O3 + 0.306 CO2,2014,['calcined'],[[900.0]],[[2.0]],,,900.0,2.0,10.1063/1.4898322,True,2,"['BaCO3', 'Bi2O3', 'MnO2', 'Na2CO3', 'TiO2']"
"['La2O3', 'SrCO3', 'CuO', 'BaCO3']",Ba0.075Sr0.05La1.875Cu1O4,0.075 BaCO3 + 1 CuO + 0.938 La2O3 + 0.031 O2 + 0.05 SrCO3 == 1 La1.875Ba0.075Sr0.050CuO4 + 0.125 CO2,2004,"['calcined', 'sintered']","[[960.0], [1250.0]]","[[24.0], [24.0]]",1250.0,24.0,960.0,24.0,10.1103/physrevb.70.104517,True,4,"['BaCO3', 'CuO', 'La2O3', 'SrCO3']"
"['TiO2', 'Na2CO3', 'Bi2O3', 'BaCO3']",Ba0.07Na0.465Ti1Bi0.465O3,0.07 BaCO3 + 0.232 Bi2O3 + 0.232 Na2CO3 + 1 TiO2 == 1 (Na0.5Bi0.5)0.93Ba0.07TiO3 + 0.302 CO2,2014,['calcined'],[[850.0]],[[3.0]],1250.0,1.5,887.5,2.25,10.1039/c4dt00956h,True,4,"['BaCO3', 'Bi2O3', 'Na2CO3', 'TiO2']"
"['BaO', 'Bi2O3']",Ba0.11Bi1.78O2.78,0.11 BaO + 0.89 Bi2O3 == 1 (BaO)0.11(Bi2O3)0.89,2007,['calcined'],[[720.0]],[[5.0]],,,720.0,5.0,10.1016/j.jpowsour.2007.08.026,True,2,"['BaO', 'Bi2O3']"
"['La2O3', 'CuO', 'BaCO3']",Ba0.125La1.875Cu1O4,0.125 BaCO3 + 1 CuO + 0.938 La2O3 + 0.031 O2 == 1 La1.875Ba0.125CuO4 + 0.125 CO2,2004,"['calcined', 'sintered']","[[960.0], [1250.0]]","[[24.0], [24.0]]",1250.0,24.0,960.0,24.0,10.1103/physrevb.70.104517,True,4,"['BaCO3', 'CuO', 'La2O3']"
"['Mn3O4', 'Pr6O11', 'CaCO3', 'BaCO3']",Ba0.15Ca0.15Pr0.7Mn1O3,0.15 BaCO3 + 0.15 CaCO3 + 0.333 Mn3O4 + 0.042 O2 + 0.117 Pr6O11 == 1 Pr0.7Ca0.15Ba0.15MnO3 + 0.3 CO2,2014,"['calcined', 'annealed']","[[1000.0], [1026.85]]","[[12.0], [24.0]]",,,1026.85,24.0,10.1016/j.ssc.2014.04.009,True,2,"['BaCO3', 'CaCO3', 'Mn3O4', 'Pr6O11']"
"['La2O3', 'MoO3', 'BaCO3']",Ba0.15La1.85Mo2O8.925,0.15 BaCO3 + 0.925 La2O3 + 2 MoO3 == 1 La1.85Ba0.15Mo2O8.925 + 0.15 CO2,2014,"['kept', 'calcined', 'heated', 'firing']","[[100.0], [1000.0], [500.0], [1000.0]]","[[], [12.0], [12.0], []]",,,1000.0,12.0,10.1021/cm503461x,True,2,"['BaCO3', 'La2O3', 'MoO3']"
"['SnO2', 'ZrO2', 'PbO', 'BaCO3', 'TiO2', 'La2O3']",Ba0.1La0.02Zr0.68Ti0.08Sn0.24Pb0.87O3,0.1 BaCO3 + 0.01 La2O3 + 0.87 PbO + 0.24 SnO2 + 0.08 TiO2 + 0.68 ZrO2 == 1 (Pb0.87Ba0.1La0.02)(Zr0.68Sn0.24Ti0.08)O3 + 0.1 CO2,2013,"['calcined', 'sintered', 'buried', 'sintered', 'sintered']","[[900.0], [], [], [1250.0], [1150.0]]","[[3.0], [], [], [3.0], [2.5]]",1150.0,2.5,900.0,3.0,10.1016/j.jeurceramsoc.2012.08.011,True,4,"['BaCO3', 'La2O3', 'PbO', 'SnO2', 'TiO2', 'ZrO2']"
"['SnO2', 'ZrO2', 'PbO', 'BaCO3', 'TiO2', 'La2O3']",Ba0.1La0.02Zr0.7Ti0.06Sn0.24Pb0.87O3,0.1 BaCO3 + 0.01 La2O3 + 0.87 PbO + 0.24 SnO2 + 0.06 TiO2 + 0.7 ZrO2 == 1 (Pb0.87La0.02Ba0.1)(Zr0.7Sn0.24Ti0.06)O3 + 0.1 CO2,2011,"['calcined', 'sintered', 'fired']","[[900.0], [1240.0], [550.0]]","[[3.0], [3.0], []]",1120.0,6.0,900.0,3.0,10.1063/1.3596577,True,4,"['BaCO3', 'La2O3', 'PbO', 'SnO2', 'TiO2', 'ZrO2']"
"['Yb2O3', 'La2O3', 'BaCO3']",Ba0.1La0.9Yb1O3,0.1 BaCO3 + 0.45 La2O3 + 0.025 O2 + 0.5 Yb2O3 == 1 La0.9Ba0.1YbO3 + 0.1 CO2,2013,['calcined'],[[1400.0]],[[10.0]],,,1400.0,10.0,10.1016/j.ijhydene.2013.03.050,True,2,"['BaCO3', 'La2O3', 'Yb2O3']"
"['Nb2O5', 'Bi2O3', 'SrCO3', 'BaCO3', 'Gd2O3']",Ba0.1Sr0.81Gd0.06Nb2Bi2O6,0.1 BaCO3 + 1 Bi2O3 + 0.03 Gd2O3 + 1 Nb2O5 + 0.81 SrCO3 == 1 Ba0.1Sr0.81Gd0.06Bi2Nb2O6 + 0.91 CO2 + 1.5 O2,2007,['calcined'],[[900.0]],[[4.0]],1160.0,,900.0,4.0,10.1007/s10853-007-1555-4,True,3,"['BaCO3', 'Bi2O3', 'Gd2O3', 'Nb2O5', 'SrCO3']"
"['TiO2', 'Bi2O3', 'Fe2O3', 'BaCO3']",Ba0.1Ti0.1Fe0.9Bi0.9O3,0.1 BaCO3 + 0.45 Bi2O3 + 0.45 Fe2O3 + 0.1 TiO2 == 1 Bi0.9Ba0.1Fe0.9Ti0.1O3 + 0.1 CO2,2011,"['pre-sintered', 'sintering']","[[760.0], []]","[[4.0], []]",830.0,3.0,700.0,1.0,10.1016/j.materresbull.2011.07.039,True,4,"['BaCO3', 'Bi2O3', 'Fe2O3', 'TiO2']"
"['ZrO2', 'PbO', 'BaCO3']",Ba0.1Zr1Pb0.9O3,0.1 BaCO3 + 0.9 PbO + 1 ZrO2 == 1 (Pb0.90Ba0.10)ZrO3 + 0.1 CO2,2005,"['calcined', 'calcined', 'sintered']","[[850.0], [], [1325.0]]","[[6.0], [], [4.0]]",1325.0,4.0,850.0,6.0,10.1016/j.matlet.2004.12.028,True,4,"['BaCO3', 'PbO', 'ZrO2']"
"['MnO2', 'La2O3', 'CaCO3', 'BaCO3']",Ba0.24Ca0.06La0.7Mn1O3,0.24 BaCO3 + 0.06 CaCO3 + 0.35 La2O3 + 1 MnO2 == 1 La0.7Ca0.06Ba0.24MnO3 + 0.3 CO2 + 0.175 O2,2003,['sintered'],[[1350.0]],[[18.0]],1350.0,18.0,,,10.1016/s0304-8853(02)01151-4,True,2,"['BaCO3', 'CaCO3', 'La2O3', 'MnO2']"
"['BaO', 'La2O3', 'Mn2O3']",Ba0.2La0.8Mn1O3,0.2 BaO + 0.4 La2O3 + 0.5 Mn2O3 + 0.05 O2 == 1 La0.8Ba0.2MnO3,2000,"['calcined', 'sintered', 'annealed']","[[900.0], [1300.0], [900.0]]","[[40.0], [24.0], [15.0]]",1300.0,24.0,900.0,15.0,10.1016/s0038-1098(00)00038-7,True,4,"['BaO', 'La2O3', 'Mn2O3']"
"['Bi2O3', 'MnO2', 'BaCO3']",Ba0.2Mn4Bi1.8O10,0.2 BaCO3 + 0.9 Bi2O3 + 4 MnO2 == 1 Ba0.2Bi1.8Mn4O10 + 0.2 CO2 + 0.45 O2,2010,"['calcined', 'sintered']","[[700.0], [950.0]]","[[3.0], [3.0]]",950.0,3.0,700.0,3.0,10.1016/j.matchemphys.2010.01.052,True,4,"['BaCO3', 'Bi2O3', 'MnO2']"
"['La2O3', 'SrCO3', 'MnO2', 'BaCO3']",Ba0.2Sr0.2La0.6Mn1O3,0.2 BaCO3 + 0.3 La2O3 + 1 MnO2 + 0.2 SrCO3 == 1 La0.6Sr0.2Ba0.2MnO3 + 0.4 CO2 + 0.15 O2,2003,['sintered'],[[1350.0]],[[18.0]],1350.0,18.0,,,10.1016/s0304-8853(02)01151-4,True,2,"['BaCO3', 'La2O3', 'MnO2', 'SrCO3']"
"['CaCO3', 'SrCO3', 'PbO', 'BaCO3', 'Tl2O3', 'CuO']",Ba0.2Sr0.8Ca2Tl0.8Cu3Pb0.4O1,0.2 BaCO3 + 2 CaCO3 + 3 CuO + 0.4 PbO + 0.8 SrCO3 + 0.4 Tl2O3 == 1 Tl0.8Pb0.4Sr0.8Ba0.2Ca2Cu3O + 3 CO2 + 3.3 O2,2004,"['heat', 'treated', 'annealed']","[[], [920.0], [905.0]]","[[], [24.0], [7.5]]",,,905.0,7.5,10.1016/j.physc.2003.10.014,True,2,"['BaCO3', 'CaCO3', 'CuO', 'PbO', 'SrCO3', 'Tl2O3']"
"['SrCO3', 'Nb2O5', 'BaCO3']",Ba0.37Sr0.63Nb2O6,0.37 BaCO3 + 1 Nb2O5 + 0.63 SrCO3 == 1 Sr0.63Ba0.37Nb2O6 + 1 CO2,2006,"['calcined', 'sintering']","[[1200.0], [1300.0]]","[[3.0], [3.0]]",1300.0,3.0,1200.0,3.0,10.1016/j.ssi.2005.12.006,True,4,"['BaCO3', 'Nb2O5', 'SrCO3']"
"['MnCO3', 'Cr2O3', 'La2O3', 'BaCO3']",Ba0.3La0.7Mn0.5Cr0.5O3,0.3 BaCO3 + 0.25 Cr2O3 + 0.35 La2O3 + 0.5 MnCO3 + 0.2 O2 == 1 La0.7Ba0.3Cr0.5Mn0.5O3 + 0.8 CO2,2009,['calcined'],"[[1650.0, 1200.0]]",[[]],,,1650.0,,10.1016/j.ssi.2009.05.010,True,1,"['BaCO3', 'Cr2O3', 'La2O3', 'MnCO3']"
"['La2O3', 'MnO2', 'BaCO3']",Ba0.3La0.7Mn1O3,0.3 BaCO3 + 0.35 La2O3 + 1 MnO2 == 1 La0.7Ba0.3MnO3 + 0.3 CO2 + 0.175 O2,2008,"['maintained', 'annealed']","[[750.0], [650.0]]","[[], [1.0]]",,,650.0,1.0,10.1016/j.surfcoat.2008.06.058,True,2,"['BaCO3', 'La2O3', 'MnO2']"
