precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count
"['CaO', 'SiO2']",Ca0.555Si0.445O1.445,0.555 CaO + 0.445 SiO2 == 1 (CaO)0.555(SiO2)0.445,2012,"['melted', 'heating', 'sintered', 'melted']","[[1690.0], [1320.0], [1400.0], [1600.0]]","[[], [10.0], [8.0, 16.0], []]",1400.0,8.0,,,10.1016/j.jnoncrysol.2012.07.032,True,2
"['Al2O3', 'CeO2', 'Y2O3']",Ce0.05Y2.95Al5O12,2.5 Al2O3 + 0.05 CeO2 + 1.475 Y2O3 == 1 (Y2.95Ce0.05)Al5O12 + 0.013 O2,2009,[],[],[],,,1500.0,,10.1111/j.1744-7402.2009.02367.x,True,1
"['SrCO3', 'MnO2']",Sr2Mn2O5,2 MnO2 + 2 SrCO3 == 1 Sr2Mn2O5 + 2 CO2 + 0.5 O2,2002,"['annealing', 'reduced']","[[1300.0, 1000.0], []]","[[30.0, 24.0], []]",,,1300.0,30.0,10.1016/s1293-2558(01)01209-2,True,2
"['Co2O3', 'Nb2O5', 'Fe2O3', 'BaCO3']",Ba1Nb0.08Fe0.22Co0.7O3,1 BaCO3 + 0.35 Co2O3 + 0.11 Fe2O3 + 0.04 Nb2O5 + 0.21 O2 == 1 BaCo0.7Fe0.22Nb0.08O3 + 1 CO2,2017,['calcined'],[[900.0]],[[5.0]],,,900.0,5.0,10.1016/j.seppur.2017.06.063,True,2
"['CeO2', 'Y2O3', 'BaCO3']",Ba1Ce0.9Y0.1O3,1 BaCO3 + 0.9 CeO2 + 0.025 O2 + 0.05 Y2O3 == 1 BaCe0.90Y0.10O3 + 1 CO2,2005,"['sintered', 'annealed', 'treated']","[[1650.0], [], []]","[[10.0], [], []]",1570.425,11.0,1219.94,6.0,10.1016/j.ssi.2005.09.032,True,4
"['Pr6O11', 'NiO', 'Fe2O3']",Pr1Fe0.6Ni0.4O3,0.3 Fe2O3 + 0.4 NiO + 0.167 Pr6O11 == 1 PrNi0.4Fe0.6O3 + 0.067 O2,2011,"['pre-calcined', 'treated', 'pre-calcined']","[[1000.0], [], [1000.0]]","[[17.0], [], []]",,,1000.0,17.0,10.1016/j.jpowsour.2011.01.003,True,2
"['ZrO2', 'BaCO3', 'CeO2', 'Sc2O3', 'ZnO']",Ba1Ce0.5Zr0.35Sc0.1Zn0.05O3,1 BaCO3 + 0.5 CeO2 + 0.05 O2 + 0.05 Sc2O3 + 0.05 ZnO + 0.35 ZrO2 == 1 BaCe0.5Zr0.35Sc0.1Zn0.05O3 + 1 CO2,2008,"['fired', 'calcined']","[[950.0], [1250.0, 1150.0]]","[[], []]",,,1250.0,,10.1016/j.ssi.2008.04.036,True,1
"['TiO2', 'SrCO3', 'Sm2O3']",Sr0.98Sm0.02Ti0.995O3,0.01 Sm2O3 + 0.98 SrCO3 + 0.995 TiO2 == 1 Sm0.02Sr0.98Ti0.995O3 + 0.98 CO2,2018,"['calcined', 'sintered']","[[1150.0], [1500.0]]","[[2.0], [2.0]]",1500.0,2.0,1150.0,2.0,10.1007/s10854-018-9250-6,True,4
"['La2O3', 'NiO']",La2NiO4,1 La2O3 + 1 NiO == 1 La2NiO4,2016,['sintered'],[[1199.85]],[[10.0]],1249.925,11.0,1200.0,3.6666666666666665,10.1039/c5cp05993c,True,4
"['TiO2', 'ZrO2', 'BaCO3']",Ba1Zr0.35Ti0.65O3,1 BaCO3 + 0.65 TiO2 + 0.35 ZrO2 == 1 BaTi0.65Zr0.35O3 + 1 CO2,1999,"['calcination', 'sintered']","[[1200.0], [1400.0]]","[[15.0], [4.0]]",1373.425,3.0,1198.425,8.5,10.1016/s0038-1098(99)00445-7,True,4
"['ReO2', 'Y2O3']",Y7ReO14,0.75 O2 + 1 ReO2 + 3.5 Y2O3 == 1 Y7ReO14,2004,"['heating', 'held', 'annealing', 'annealed', 'annealed']","[[1399.85], [], [25.0], [699.85], [480.0]]","[[], [24.0], [], [], []]",,,480.0,,10.1016/j.solidstatesciences.2004.02.003,True,1
"['Mn2O3', 'Y2O3', 'BaCO3']",BaYMn2O6,1 BaCO3 + 1 Mn2O3 + 0.25 O2 + 0.5 Y2O3 == 1 BaYMn2O6 + 1 CO2,2013,['postannealed'],[[600.0]],[[]],,,600.0,,10.1021/jp401965b,True,1
"['La2O3', 'CaCO3', 'Co3O4']",Ca0.3La0.7Co1O3,0.3 CaCO3 + 0.333 Co3O4 + 0.35 La2O3 + 0.158 O2 == 1 La0.7Ca0.3CoO3 + 0.3 CO2,2005,"['calcined', 'sintered', 'sintered']","[[949.85], [], []]","[[], [], []]",,,949.85,,10.1103/physrevb.72.144423,True,1
"['LiHO', 'TiH2O3']",Li2TiO3,1 H2TiO3 + 2 LiOH·H2O == 1 Li2TiO3 + 4 H2O,2011,"['calcined', 'sintered']","[[499.85], [1199.85]]","[[1.0], [1.0]]",1066.5666666666666,1.3333333333333333,599.85,3.6666666666666665,10.1016/j.fusengdes.2011.01.065,True,4
"['BiIO', 'Ta2O5', 'Bi2O3']",TaBi4IO8,1.5 Bi2O3 + 1 BiOI + 0.5 Ta2O5 == 1 Bi4TaO8I,2014,['sintered'],[[700.0]],[[24.0]],700.0,24.0,,,10.1016/j.jtice.2014.07.003,True,2
"['RuO2', 'La2O3']",La2RuO5,2 La2O3 + 2 RuO2 == 1 La4Ru2O10,2011,"['annealed', 'annealing']","[[1150.0], []]","[[], []]",1150.0,36.0,1150.0,,10.1103/physrevb.83.165131,True,3
"['In2O3', 'Ge']",In2Ge2O7,2 Ge + 1 In2O3 + 2 O2 == 1 In2Ge2O7,2015,['annealed'],[[800.0]],[[]],,,800.0,,10.1016/j.mseb.2014.12.015,True,1
"['TiO2', 'Ho2O3', 'Bi2O3']",Ho0.4Ti3Bi3.6O12,1.8 Bi2O3 + 0.2 Ho2O3 + 3 TiO2 == 1 Bi3.6Ho0.4Ti3O12,2012,"['sintered', 'sintered']","[[900.0], [850.0]]","[[8.0], [2.0]]",850.0,2.0,,,10.1016/j.matlet.2012.04.032,True,2
"['MnO2', 'ZnO']",Mn0.022Zn0.978O1,0.022 MnO2 + 0.978 ZnO == 1 Zn0.978Mn0.022O + 0.011 O2,2006,"['calcined', 'sintered', 'heated', 'annealed', 'heated']","[[400.0], [450.0], [400.0], [400.0], [400.0]]","[[8.0], [12.0], [1.0], [4.0], []]",450.0,12.0,400.0,4.0,10.1016/j.jcrysgro.2006.06.036,True,4
"['TiO2', 'P2O5', 'Li2CO3']",LiTi2(PO4)3,0.5 Li2CO3 + 1.5 P2O5 + 2 TiO2 == 1 LiTi2(PO4)3 + 0.5 CO2,2001,"['heated', 'heating']","[[999.85], [999.85]]","[[2.0], [2.0]]",1000.0,2.0,,,10.1016/s0167-2738(01)00688-9,True,2
"['Co(NO3)2', 'Mn3O4', 'Li2CO3']",Li1.19Mn0.32Co0.49O2,0.49 Co(NO3)2·6H2O + 0.595 Li2CO3 + 0.107 Mn3O4 + 0.244 O2 + 0.98 [OH-] == 1 Li(Li0.19Mn0.32Co0.49)O2 + 0.595 CO2 + 3.43 H2O + 0.98 [NO3-],2015,"['calcined', 'sintered']","[[500.0], [900.0]]","[[5.0], [10.0]]",900.0,10.0,500.0,5.0,10.1016/j.electacta.2014.12.037,True,4
['SrMoO4'],SrMoO3,1 SrMoO4 == 1 SrMoO3 + 0.5 O2,2005,[],[],[],1249.925,12.0,,,10.1016/j.jnucmat.2005.04.017,True,2
"['WO3', 'Li2CO3']",Li4WO5,2 Li2CO3 + 1 WO3 == 1 Li4WO5 + 2 CO2,2018,['sintering'],[[880.0]],[[]],990.0,,600.0,4.0,10.1007/s10854-018-8619-x,True,3
"['PH6NO4', 'SrCO3', 'ZnO']",SrZn2(PO4)2,2 (NH4)H2PO4 + 1 SrCO3 + 2 ZnO == 1 SrZn2(PO4)2 + 1 CO2 + 3 H2O + 2 NH3,2009,"['presintered', 'fired', 'heated']","[[500.0], [], [900.0]]","[[10.0], [], [10.0]]",500.0,10.0,,,10.1149/1.3190479,True,2
"['Co3O4', 'Gd2O3', 'BaCO3']",Ba1Gd1Co2O5.5,1 BaCO3 + 0.667 Co3O4 + 0.5 Gd2O3 + 0.167 O2 == 1 GdBaCo2O5.5 + 1 CO2,2001,"['annealed', 'annealing']","[[1125.0], [1125.0]]","[[24.0], []]",,,1125.0,24.0,10.1016/s0925-8388(01)01127-6,True,2
"['SrCO3', 'Co(CO2)2', 'V2O5']",SrV2(CoO4)2,2 CoC2O4·2H2O + 1 O2 + 1 SrCO3 + 1 V2O5 == 1 SrCo2V2O8 + 5 CO2 + 4 H2O,2006,"['melted', 'kept']","[[1050.0], [1050.0]]","[[], [10.0]]",900.0,,800.0,,10.1016/j.jcrysgro.2006.05.039,True,2
"['ZrO2', 'Na2CO3']",Na2ZrO3,1 Na2CO3 + 1 ZrO2 == 1 Na2ZrO3 + 1 CO2,2010,"['calcined', 'calcined']","[[900.0], [900.0]]","[[4.0], [4.0]]",,,900.0,7.333333333333333,10.1016/j.ijhydene.2009.07.025,True,2
"['LaNi5', 'LaMgNi4']",La2MgNi9,1 LaMgNi4 + 1 LaNi5 == 1 La2MgNi9,2015,['increased'],[[449.85]],[[]],,,1000.0,,10.1016/j.jpowsour.2015.09.058,True,1
"['TiO2', 'CaCO3', 'Bi(NO3)3', 'BaCO3']",Ba0.5Ca0.5Ti4Bi4O15,0.5 BaCO3 + 4 Bi(NO3)3·5H2O + 0.5 CaCO3 + 4 TiO2 + 12 [OH-] == 1 Ba0.5Ca0.5Bi4Ti4O15 + 1 CO2 + 26 H2O + 12 [NO3-],2018,"['calcinated', 'calcined']","[[850.0], [1150.0]]","[[4.0], [48.0]]",,,1150.0,48.0,10.1016/j.materresbull.2018.09.006,True,2
"['Ga2O3', 'Tb4O7']",Tb3Ga5O12,2.5 Ga2O3 + 0.75 Tb4O7 == 1 Tb3Ga5O12 + 0.375 O2,2007,"['sintered', 'sintered']","[[1200.0], [1200.0]]","[[10.0], [24.0]]",1200.0,24.0,,,10.1016/j.jcrysgro.2007.04.039,True,2
"['Nb2O5', 'MnO2', 'K2CO3', 'Ta2O5']",K1Ta0.198Mn0.01Nb0.792O3,0.5 K2CO3 + 0.01 MnO2 + 0.396 Nb2O5 + 0.002 O2 + 0.099 Ta2O5 == 1 K((Nb0.80Ta0.20)0.99Mn0.01)O3 + 0.5 CO2,2013,"['Sintering', 'sintering', 'sintered', 'sintered', 'aged']","[[], [1150.0], [], [], [120.0]]","[[], [0.5], [], [], []]",1150.0,0.5,,,10.1063/1.4811168,True,2
"['TeO2', 'Bi2O3']",Bi2TeO5,1 Bi2O3 + 1 TeO2 == 1 Bi2TeO5,2005,"['sintered', 'sintered']","[[850.0, 700.0], [920.0]]","[[20.0, 20.0], [1.0]]",920.0,1.0,500.0,12.0,10.1016/j.matlet.2005.06.035,True,4
"['K2CO3', 'Ta2O5']",K1.02Ta1O3.01,0.51 K2CO3 + 0.5 Ta2O5 == 1 K1.02TaO3.01 + 0.51 CO2,2011,"['calcined', 'sintered', 'calcined', 'sintered', 'sintering']","[[875.0], [], [], [], [1350.0]]","[[8.0], [], [], [], []]",1350.0,,875.0,8.0,10.1016/j.jeurceramsoc.2011.06.012,True,3
"['Fe2O3', 'Ta2O5']",TaFeO4,0.5 Fe2O3 + 0.5 Ta2O5 == 1 FeTaO4,1999,"['heat', 'treated']","[[], [50.0, 750.0]]","[[], []]",,,1300.0,48.0,10.1016/s0167-577x(99)00083-x,True,2
"['MnO2', 'La2O3', 'CaCO3', 'BaCO3']",Ba0.1Ca0.23La0.67Mn1O3,0.1 BaCO3 + 0.23 CaCO3 + 0.335 La2O3 + 1 MnO2 == 1 La0.67Ba0.1Ca0.23MnO3 + 0.33 CO2 + 0.168 O2,2016,"['calcined', 'sintered']","[[], [1400.0]]","[[], [12.0]]",1400.0,12.0,,,10.1039/c5dt04490a,True,2
"['MnO2', 'La2O3', 'CaCO3']",Ca1.8La1.2Mn2O7,1.8 CaCO3 + 0.6 La2O3 + 2 MnO2 == 1 La1.2Ca1.8Mn2O7 + 1.8 CO2 + 0.3 O2,2001,"['calcined', 'sintered']","[[1450.0, 1400.0, 1200.0], [1450.0]]","[[24.0, 24.0, 24.0], [24.0]]",1450.0,24.0,1450.0,24.0,10.1016/s0025-5408(01)00588-8,True,4
"['SrCO3', 'Fe2O3', 'Bi2O3']",Sr0.5Fe1Bi0.5O3,0.25 Bi2O3 + 0.5 Fe2O3 + 0.125 O2 + 0.5 SrCO3 == 1 Bi0.5Sr0.5FeO3 + 0.5 CO2,2014,"['calcined', 'sintered']","[[1000.0], [1150.0]]","[[], [12.0]]",1125.0,12.0,900.0,5.0,10.1016/j.ssi.2014.01.006,True,4
"['GeO2', 'CaCO3', 'CuO']",CaCu3(GeO3)4,1 CaCO3 + 3 CuO + 4 GeO2 == 1 CaCu3Ge4O12 + 1 CO2,2007,['calcined'],[[1000.0]],[[20.0]],,,1000.0,20.0,10.1103/physrevb.76.140403,True,2
"['La2O3', 'CrO3']",LaCrO3,1 CrO3 + 0.5 La2O3 == 1 LaCrO3 + 0.75 O2,2000,['calcining'],[[1400.0]],[[4.0]],,,1400.0,4.0,10.1016/s0272-8842(00)00017-1,True,2
"['WO3', 'Nb2O5', 'Li2CO3']",LiNbWO6,0.5 Li2CO3 + 0.5 Nb2O5 + 1 WO3 == 1 LiNbWO6 + 0.5 CO2,2017,['calcination'],[[]],[[24.0]],,,,24.0,10.1016/j.jechem.2016.09.010,True,1
"['TiO2', 'La2Ti2O7']",La4Ti9O24,2 La2Ti2O7 + 5 TiO2 == 1 La4Ti9O24,2008,"['sintered', 'melted']","[[1098.85], []]","[[10.0], []]",1098.85,10.0,,,10.1063/1.2903544,True,2
"['SiO2', 'ZnO']",Zn2SiO4,1 SiO2 + 2 ZnO == 1 Zn2SiO4 ; target Zn2SiO4 with additives Ti via TiO2,2007,"['burned', 'sintered', 'annealed']","[[800.0], [1300.0], []]","[[4.0], [20.0], []]",1125.0,10.0,1100.0,4.0,10.1016/j.tsf.2007.04.024,True,4
"['Sb2O5', 'MnO2', 'BaCO3']",Ba3MnSb2O9,3 BaCO3 + 1 MnO2 + 1 Sb2O5 == 1 Ba3MnSb2O9 + 3 CO2 + 0.5 O2,2014,"['calcined', 'sintered']","[[1200.0], [1450.0]]","[[24.0], [48.0]]",1450.0,48.0,1200.0,24.0,10.1016/j.jmmm.2014.02.003,True,4
"['ZrO2', 'Fe2O3', 'SrCO3', 'PbO', 'TiO2']",Sr0.05Zr0.5247Ti0.4653Fe0.01Pb0.95O3,0.005 Fe2O3 + 0.002 O2 + 0.95 PbO + 0.05 SrCO3 + 0.465 TiO2 + 0.525 ZrO2 == 1 (Pb0.95Sr0.05)(Zr0.53Ti0.47)0.99Fe0.01O3 + 0.05 CO2,2018,"['calcined', 'sintered', 'fired']","[[820.0], [1180.0], []]","[[2.0], [2.0], []]",1180.0,2.0,820.0,2.0,10.1016/j.scriptamat.2017.08.013,True,4
"['Ni(NO3)3', 'Nd(NO3)3']",NdNiO3,1 Nd(NO3)3·6H2O + 1 Ni(NO3)3·6H2O + 6 [OH-] == 1 NdNiO3 + 15 H2O + 6 [NO3-],2004,"['burned', 'fired', 'sintered', 'annealing']","[[], [500.0], [], [1000.0]]","[[], [5.0], [], []]",,,1000.0,,10.1016/j.materresbull.2004.02.005,True,1
